Time	MessageType	HTL	ReplicationFactor	SwapFrequency	Result	Hops
0	class dataStructure.message.GetOkMessage	500	1	1	true	78
0	class dataStructure.message.GetOkMessage	500	1	1	true	88
0	class dataStructure.message.GetOkMessage	500	1	1	true	30
0	class dataStructure.message.GetOkMessage	500	1	1	true	177
0	class dataStructure.message.GetOkMessage	500	1	1	true	80
0	class dataStructure.message.GetOkMessage	500	1	1	true	167
0	class dataStructure.message.GetOkMessage	500	1	1	true	67
0	class dataStructure.message.GetOkMessage	500	1	1	true	67
0	class dataStructure.message.GetOkMessage	500	1	1	true	14
0	class dataStructure.message.GetOkMessage	500	1	1	true	18
0	class dataStructure.message.GetOkMessage	500	1	1	true	97
0	class dataStructure.message.GetOkMessage	500	1	1	true	114
0	class dataStructure.message.GetOkMessage	500	1	1	true	37
0	class dataStructure.message.GetOkMessage	500	1	1	true	70
0	class dataStructure.message.GetOkMessage	500	1	1	true	30
0	class dataStructure.message.GetOkMessage	500	1	1	true	24
0	class dataStructure.message.GetOkMessage	500	1	1	true	111
0	class dataStructure.message.GetOkMessage	500	1	1	true	61
0	class dataStructure.message.GetOkMessage	500	1	1	true	91
0	class dataStructure.message.GetOkMessage	500	1	1	true	36
0	class dataStructure.message.GetOkMessage	500	1	1	true	27
0	class dataStructure.message.GetOkMessage	500	1	1	true	135
0	class dataStructure.message.GetOkMessage	500	1	1	true	68
0	class dataStructure.message.GetOkMessage	500	1	1	true	19
0	class dataStructure.message.GetOkMessage	500	1	1	true	129
0	class dataStructure.message.GetOkMessage	500	1	1	true	78
0	class dataStructure.message.GetOkMessage	500	1	1	true	67
0	class dataStructure.message.GetOkMessage	500	1	1	true	33
0	class dataStructure.message.GetOkMessage	500	1	1	true	128
0	class dataStructure.message.GetOkMessage	500	1	1	true	22
0	class dataStructure.message.GetOkMessage	500	1	1	true	63
0	class dataStructure.message.GetOkMessage	500	1	1	true	75
0	class dataStructure.message.GetOkMessage	500	1	1	true	75
0	class dataStructure.message.GetOkMessage	500	1	1	true	85
0	class dataStructure.message.GetOkMessage	500	1	1	true	71
0	class dataStructure.message.GetOkMessage	500	1	1	true	74
0	class dataStructure.message.GetOkMessage	500	1	1	true	36
0	class dataStructure.message.GetOkMessage	500	1	1	true	72
0	class dataStructure.message.GetOkMessage	500	1	1	true	80
0	class dataStructure.message.GetOkMessage	500	1	1	true	62
0	class dataStructure.message.GetOkMessage	500	1	1	true	25
0	class dataStructure.message.GetOkMessage	500	1	1	true	259
0	class dataStructure.message.GetOkMessage	500	1	1	true	178
0	class dataStructure.message.GetOkMessage	500	1	1	true	94
0	class dataStructure.message.GetOkMessage	500	1	1	true	147
0	class dataStructure.message.GetOkMessage	500	1	1	true	122
0	class dataStructure.message.GetOkMessage	500	1	1	true	35
0	class dataStructure.message.GetOkMessage	500	1	1	true	16
0	class dataStructure.message.GetOkMessage	500	1	1	true	64
0	class dataStructure.message.GetOkMessage	500	1	1	true	128
0	class dataStructure.message.GetOkMessage	500	1	1	true	110
0	class dataStructure.message.GetOkMessage	500	1	1	true	95
0	class dataStructure.message.GetOkMessage	500	1	1	true	91
0	class dataStructure.message.GetOkMessage	500	1	1	true	106
0	class dataStructure.message.GetOkMessage	500	1	1	true	89
0	class dataStructure.message.GetOkMessage	500	1	1	true	92
0	class dataStructure.message.GetOkMessage	500	1	1	true	124
0	class dataStructure.message.GetOkMessage	500	1	1	true	57
0	class dataStructure.message.GetOkMessage	500	1	1	true	157
0	class dataStructure.message.GetOkMessage	500	1	1	true	6
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	590
0	class dataStructure.message.GetOkMessage	500	1	1	true	41
0	class dataStructure.message.GetOkMessage	500	1	1	true	21
0	class dataStructure.message.GetOkMessage	500	1	1	true	3
0	class dataStructure.message.GetOkMessage	500	1	1	true	1
0	class dataStructure.message.GetOkMessage	500	1	1	true	6
0	class dataStructure.message.GetOkMessage	500	1	1	true	55
0	class dataStructure.message.GetOkMessage	500	1	1	true	46
0	class dataStructure.message.GetOkMessage	500	1	1	true	180
0	class dataStructure.message.GetOkMessage	500	1	1	true	103
0	class dataStructure.message.GetOkMessage	500	1	1	true	182
0	class dataStructure.message.GetOkMessage	500	1	1	true	40
0	class dataStructure.message.GetOkMessage	500	1	1	true	82
0	class dataStructure.message.GetOkMessage	500	1	1	true	85
0	class dataStructure.message.GetOkMessage	500	1	1	true	56
0	class dataStructure.message.GetOkMessage	500	1	1	true	32
0	class dataStructure.message.GetOkMessage	500	1	1	true	201
0	class dataStructure.message.GetOkMessage	500	1	1	true	72
0	class dataStructure.message.GetOkMessage	500	1	1	true	93
0	class dataStructure.message.GetOkMessage	500	1	1	true	76
0	class dataStructure.message.GetOkMessage	500	1	1	true	107
0	class dataStructure.message.GetOkMessage	500	1	1	true	76
0	class dataStructure.message.GetOkMessage	500	1	1	true	100
0	class dataStructure.message.GetOkMessage	500	1	1	true	112
0	class dataStructure.message.GetOkMessage	500	1	1	true	8
0	class dataStructure.message.GetOkMessage	500	1	1	true	115
0	class dataStructure.message.GetOkMessage	500	1	1	true	109
0	class dataStructure.message.GetOkMessage	500	1	1	true	24
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	519
0	class dataStructure.message.GetOkMessage	500	1	1	true	244
0	class dataStructure.message.GetOkMessage	500	1	1	true	29
0	class dataStructure.message.GetOkMessage	500	1	1	true	79
0	class dataStructure.message.GetOkMessage	500	1	1	true	142
0	class dataStructure.message.GetOkMessage	500	1	1	true	58
0	class dataStructure.message.GetOkMessage	500	1	1	true	64
0	class dataStructure.message.GetOkMessage	500	1	1	true	54
0	class dataStructure.message.GetOkMessage	500	1	1	true	119
0	class dataStructure.message.GetOkMessage	500	1	1	true	317
0	class dataStructure.message.GetOkMessage	500	1	1	true	308
0	class dataStructure.message.GetOkMessage	500	1	1	true	117
0	class dataStructure.message.GetOkMessage	500	1	1	true	182
0	class dataStructure.message.GetOkMessage	500	1	1	true	23
0	class dataStructure.message.GetOkMessage	500	1	1	true	35
0	class dataStructure.message.GetOkMessage	500	1	1	true	112
0	class dataStructure.message.GetOkMessage	500	1	1	true	130
0	class dataStructure.message.GetOkMessage	500	1	1	true	83
0	class dataStructure.message.GetOkMessage	500	1	1	true	14
0	class dataStructure.message.GetOkMessage	500	1	1	true	19
0	class dataStructure.message.GetOkMessage	500	1	1	true	28
0	class dataStructure.message.GetOkMessage	500	1	1	true	193
0	class dataStructure.message.GetOkMessage	500	1	1	true	113
0	class dataStructure.message.GetOkMessage	500	1	1	true	296
0	class dataStructure.message.GetOkMessage	500	1	1	true	138
0	class dataStructure.message.GetOkMessage	500	1	1	true	376
0	class dataStructure.message.GetOkMessage	500	1	1	true	287
0	class dataStructure.message.GetOkMessage	500	1	1	true	120
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	537
0	class dataStructure.message.GetOkMessage	500	1	1	true	43
0	class dataStructure.message.GetOkMessage	500	1	1	true	209
0	class dataStructure.message.GetOkMessage	500	1	1	true	328
0	class dataStructure.message.GetOkMessage	500	1	1	true	106
0	class dataStructure.message.GetOkMessage	500	1	1	true	227
0	class dataStructure.message.GetOkMessage	500	1	1	true	84
0	class dataStructure.message.GetOkMessage	500	1	1	true	261
0	class dataStructure.message.GetOkMessage	500	1	1	true	117
0	class dataStructure.message.GetOkMessage	500	1	1	true	107
0	class dataStructure.message.GetOkMessage	500	1	1	true	25
0	class dataStructure.message.GetOkMessage	500	1	1	true	41
0	class dataStructure.message.GetOkMessage	500	1	1	true	14
0	class dataStructure.message.GetOkMessage	500	1	1	true	116
0	class dataStructure.message.GetOkMessage	500	1	1	true	69
0	class dataStructure.message.GetOkMessage	500	1	1	true	65
0	class dataStructure.message.GetOkMessage	500	1	1	true	56
0	class dataStructure.message.GetOkMessage	500	1	1	true	584
0	class dataStructure.message.GetOkMessage	500	1	1	true	55
0	class dataStructure.message.GetOkMessage	500	1	1	true	164
0	class dataStructure.message.GetOkMessage	500	1	1	true	194
0	class dataStructure.message.GetOkMessage	500	1	1	true	66
0	class dataStructure.message.GetOkMessage	500	1	1	true	130
0	class dataStructure.message.GetOkMessage	500	1	1	true	308
0	class dataStructure.message.GetOkMessage	500	1	1	true	156
0	class dataStructure.message.GetOkMessage	500	1	1	true	196
0	class dataStructure.message.GetOkMessage	500	1	1	true	63
0	class dataStructure.message.GetOkMessage	500	1	1	true	135
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	514
0	class dataStructure.message.GetOkMessage	500	1	1	true	122
0	class dataStructure.message.GetOkMessage	500	1	1	true	244
0	class dataStructure.message.GetOkMessage	500	1	1	true	113
0	class dataStructure.message.GetOkMessage	500	1	1	true	36
0	class dataStructure.message.GetOkMessage	500	1	1	true	13
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	594
0	class dataStructure.message.GetOkMessage	500	1	1	true	31
0	class dataStructure.message.GetOkMessage	500	1	1	true	244
0	class dataStructure.message.GetOkMessage	500	1	1	true	58
0	class dataStructure.message.GetOkMessage	500	1	1	true	109
0	class dataStructure.message.GetOkMessage	500	1	1	true	85
0	class dataStructure.message.GetOkMessage	500	1	1	true	59
0	class dataStructure.message.GetOkMessage	500	1	1	true	225
0	class dataStructure.message.GetOkMessage	500	1	1	true	72
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	504
0	class dataStructure.message.GetOkMessage	500	1	1	true	17
0	class dataStructure.message.GetOkMessage	500	1	1	true	90
0	class dataStructure.message.GetOkMessage	500	1	1	true	207
0	class dataStructure.message.GetOkMessage	500	1	1	true	192
0	class dataStructure.message.GetOkMessage	500	1	1	true	191
0	class dataStructure.message.GetOkMessage	500	1	1	true	36
0	class dataStructure.message.GetOkMessage	500	1	1	true	266
0	class dataStructure.message.GetOkMessage	500	1	1	true	111
0	class dataStructure.message.GetOkMessage	500	1	1	true	277
0	class dataStructure.message.GetOkMessage	500	1	1	true	62
0	class dataStructure.message.GetOkMessage	500	1	1	true	83
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	507
0	class dataStructure.message.GetOkMessage	500	1	1	true	9
0	class dataStructure.message.GetOkMessage	500	1	1	true	11
0	class dataStructure.message.GetOkMessage	500	1	1	true	233
0	class dataStructure.message.GetOkMessage	500	1	1	true	132
0	class dataStructure.message.GetOkMessage	500	1	1	true	86
0	class dataStructure.message.GetOkMessage	500	1	1	true	226
0	class dataStructure.message.GetOkMessage	500	1	1	true	153
0	class dataStructure.message.GetOkMessage	500	1	1	true	66
0	class dataStructure.message.GetOkMessage	500	1	1	true	203
0	class dataStructure.message.GetOkMessage	500	1	1	true	225
0	class dataStructure.message.GetOkMessage	500	1	1	true	117
0	class dataStructure.message.GetOkMessage	500	1	1	true	24
0	class dataStructure.message.GetOkMessage	500	1	1	true	200
0	class dataStructure.message.GetOkMessage	500	1	1	true	57
0	class dataStructure.message.GetOkMessage	500	1	1	true	133
0	class dataStructure.message.GetOkMessage	500	1	1	true	106
0	class dataStructure.message.GetOkMessage	500	1	1	true	86
0	class dataStructure.message.GetOkMessage	500	1	1	true	82
0	class dataStructure.message.GetOkMessage	500	1	1	true	65
0	class dataStructure.message.GetOkMessage	500	1	1	true	17
0	class dataStructure.message.GetOkMessage	500	1	1	true	71
0	class dataStructure.message.GetOkMessage	500	1	1	true	218
0	class dataStructure.message.GetOkMessage	500	1	1	true	107
0	class dataStructure.message.GetOkMessage	500	1	1	true	195
0	class dataStructure.message.GetOkMessage	500	1	1	true	214
0	class dataStructure.message.GetOkMessage	500	1	1	true	84
0	class dataStructure.message.GetOkMessage	500	1	1	true	219
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	511
0	class dataStructure.message.GetOkMessage	500	1	1	true	104
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	508
0	class dataStructure.message.GetOkMessage	500	1	1	true	76
0	class dataStructure.message.GetOkMessage	500	1	1	true	175
0	class dataStructure.message.GetOkMessage	500	1	1	true	307
0	class dataStructure.message.GetOkMessage	500	1	1	true	335
0	class dataStructure.message.GetOkMessage	500	1	1	true	173
0	class dataStructure.message.GetOkMessage	500	1	1	true	150
0	class dataStructure.message.GetOkMessage	500	1	1	true	135
0	class dataStructure.message.GetOkMessage	500	1	1	true	45
0	class dataStructure.message.GetOkMessage	500	1	1	true	130
0	class dataStructure.message.GetOkMessage	500	1	1	true	219
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	502
0	class dataStructure.message.GetOkMessage	500	1	1	true	106
0	class dataStructure.message.GetOkMessage	500	1	1	true	326
0	class dataStructure.message.GetOkMessage	500	1	1	true	115
0	class dataStructure.message.GetOkMessage	500	1	1	true	267
0	class dataStructure.message.GetOkMessage	500	1	1	true	98
0	class dataStructure.message.GetOkMessage	500	1	1	true	58
0	class dataStructure.message.GetOkMessage	500	1	1	true	63
0	class dataStructure.message.GetOkMessage	500	1	1	true	104
0	class dataStructure.message.GetOkMessage	500	1	1	true	117
0	class dataStructure.message.GetOkMessage	500	1	1	true	29
0	class dataStructure.message.GetOkMessage	500	1	1	true	39
0	class dataStructure.message.GetOkMessage	500	1	1	true	33
0	class dataStructure.message.GetOkMessage	500	1	1	true	246
0	class dataStructure.message.GetOkMessage	500	1	1	true	378
0	class dataStructure.message.GetOkMessage	500	1	1	true	190
0	class dataStructure.message.GetOkMessage	500	1	1	true	11
0	class dataStructure.message.GetOkMessage	500	1	1	true	1
0	class dataStructure.message.GetOkMessage	500	1	1	true	199
0	class dataStructure.message.GetOkMessage	500	1	1	true	189
0	class dataStructure.message.GetOkMessage	500	1	1	true	250
0	class dataStructure.message.GetOkMessage	500	1	1	true	52
0	class dataStructure.message.GetOkMessage	500	1	1	true	243
0	class dataStructure.message.GetOkMessage	500	1	1	true	34
0	class dataStructure.message.GetOkMessage	500	1	1	true	379
0	class dataStructure.message.GetOkMessage	500	1	1	true	393
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	581
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	3
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	503
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	736
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	565
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	513
0	class dataStructure.message.GetOkMessage	500	1	1	true	476
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	739
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	680
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	593
0	class dataStructure.message.GetOkMessage	500	1	1	true	68
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	586
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	619
0	class dataStructure.message.GetOkMessage	500	1	1	true	27
0	class dataStructure.message.GetOkMessage	500	1	1	true	154
0	class dataStructure.message.GetOkMessage	500	1	1	true	430
0	class dataStructure.message.GetOkMessage	500	1	1	true	397
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	548
0	class dataStructure.message.GetOkMessage	500	1	1	true	499
0	class dataStructure.message.GetOkMessage	500	1	1	true	226
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	817
0	class dataStructure.message.GetOkMessage	500	1	1	true	404
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	506
0	class dataStructure.message.GetOkMessage	500	1	1	true	108
0	class dataStructure.message.GetOkMessage	500	1	1	true	96
0	class dataStructure.message.GetOkMessage	500	1	1	true	347
0	class dataStructure.message.GetOkMessage	500	1	1	true	354
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	587
